condition,label,seed,class_id,learning_order,mse
ndl_dataset_oracle,NDL + original data,44,4,5,0.04812219738960266
ndl_dataset_oracle,NDL + original data,44,5,6,0.06267204880714417
ndl_dataset_oracle,NDL + original data,44,6,7,0.06540124118328094
ndl_dataset_oracle,NDL + original data,44,8,8,0.056017957627773285
ndl_dataset_oracle,NDL + original data,44,9,9,0.03863820806145668
ndl_dataset_oracle,NDL + original data,45,1,0,0.006574955303221941
ndl_dataset_oracle,NDL + original data,45,7,1,0.01841891184449196
ndl_dataset_oracle,NDL + original data,45,0,2,0.06495299190282822
ndl_dataset_oracle,NDL + original data,45,2,3,0.05893625319004059
ndl_dataset_oracle,NDL + original data,45,3,4,0.06337805092334747
ndl_dataset_oracle,NDL + original data,45,4,5,0.050165679305791855
ndl_dataset_oracle,NDL + original data,45,5,6,0.06475173681974411
ndl_dataset_oracle,NDL + original data,45,6,7,0.07094451785087585
ndl_dataset_oracle,NDL + original data,45,8,8,0.059196241199970245
ndl_dataset_oracle,NDL + original data,45,9,9,0.040088605135679245
ndl_dataset_oracle,NDL + original data,46,1,0,0.006689512636512518
ndl_dataset_oracle,NDL + original data,46,7,1,0.017947740852832794
ndl_dataset_oracle,NDL + original data,46,0,2,0.06683040410280228
ndl_dataset_oracle,NDL + original data,46,2,3,0.05942069739103317
ndl_dataset_oracle,NDL + original data,46,3,4,0.06127634271979332
ndl_dataset_oracle,NDL + original data,46,4,5,0.05242209881544113
ndl_dataset_oracle,NDL + original data,46,5,6,0.0608338825404644
ndl_dataset_oracle,NDL + original data,46,6,7,0.06993107497692108
ndl_dataset_oracle,NDL + original data,46,8,8,0.05831887945532799
ndl_dataset_oracle,NDL + original data,46,9,9,0.039723385125398636
ndl_dataset_oracle,NDL + original data,47,1,0,0.006202493794262409
ndl_dataset_oracle,NDL + original data,47,7,1,0.017900168895721436
ndl_dataset_oracle,NDL + original data,47,0,2,0.06218155100941658
ndl_dataset_oracle,NDL + original data,47,2,3,0.05789938569068909
ndl_dataset_oracle,NDL + original data,47,3,4,0.05936726927757263
ndl_dataset_oracle,NDL + original data,47,4,5,0.05066223070025444
ndl_dataset_oracle,NDL + original data,47,5,6,0.059242963790893555
ndl_dataset_oracle,NDL + original data,47,6,7,0.06822317093610764
ndl_dataset_oracle,NDL + original data,47,8,8,0.06001189723610878
ndl_dataset_oracle,NDL + original data,47,9,9,0.03955705091357231
ndl_dataset_oracle,NDL + original data,48,1,0,0.006795101799070835
ndl_dataset_oracle,NDL + original data,48,7,1,0.018105052411556244
ndl_dataset_oracle,NDL + original data,48,0,2,0.06900031119585037
ndl_dataset_oracle,NDL + original data,48,2,3,0.058465827256441116
ndl_dataset_oracle,NDL + original data,48,3,4,0.06207440793514252
ndl_dataset_oracle,NDL + original data,48,4,5,0.04440390318632126
ndl_dataset_oracle,NDL + original data,48,5,6,0.06323018670082092
ndl_dataset_oracle,NDL + original data,48,6,7,0.0685020387172699
ndl_dataset_oracle,NDL + original data,48,8,8,0.055555958300828934
ndl_dataset_oracle,NDL + original data,48,9,9,0.036044612526893616
ndl_dataset_oracle,NDL + original data,49,1,0,0.006666314322501421
ndl_dataset_oracle,NDL + original data,49,7,1,0.017742570489645004
ndl_dataset_oracle,NDL + original data,49,0,2,0.06500710546970367
ndl_dataset_oracle,NDL + original data,49,2,3,0.05635231360793114
ndl_dataset_oracle,NDL + original data,49,3,4,0.05945558100938797
ndl_dataset_oracle,NDL + original data,49,4,5,0.05018649622797966
ndl_dataset_oracle,NDL + original data,49,5,6,0.0627526268362999
ndl_dataset_oracle,NDL + original data,49,6,7,0.06707821786403656
ndl_dataset_oracle,NDL + original data,49,8,8,0.057995617389678955
ndl_dataset_oracle,NDL + original data,49,9,9,0.03866340219974518
ndl_dataset_oracle,NDL + original data,50,1,0,0.007245310582220554
ndl_dataset_oracle,NDL + original data,50,7,1,0.01878483034670353
ndl_dataset_oracle,NDL + original data,50,0,2,0.06178613379597664
ndl_dataset_oracle,NDL + original data,50,2,3,0.05758648365736008
ndl_dataset_oracle,NDL + original data,50,3,4,0.05912844464182854
ndl_dataset_oracle,NDL + original data,50,4,5,0.04872683063149452
ndl_dataset_oracle,NDL + original data,50,5,6,0.059845566749572754
ndl_dataset_oracle,NDL + original data,50,6,7,0.06899334490299225
ndl_dataset_oracle,NDL + original data,50,8,8,0.05664106458425522
ndl_dataset_oracle,NDL + original data,50,9,9,0.0391656756401062
ndl_dataset_oracle,NDL + original data,51,1,0,0.006661428138613701
ndl_dataset_oracle,NDL + original data,51,7,1,0.017584290355443954
ndl_dataset_oracle,NDL + original data,51,0,2,0.06366480141878128
ndl_dataset_oracle,NDL + original data,51,2,3,0.055703092366456985
ndl_dataset_oracle,NDL + original data,51,3,4,0.05826394259929657
ndl_dataset_oracle,NDL + original data,51,4,5,0.04948525130748749
ndl_dataset_oracle,NDL + original data,51,5,6,0.06243998184800148
ndl_dataset_oracle,NDL + original data,51,6,7,0.0645432323217392
ndl_dataset_oracle,NDL + original data,51,8,8,0.05640243738889694
ndl_dataset_oracle,NDL + original data,51,9,9,0.03869827464222908
ndl_intrinsic,NDL + intrinsic replay,42,1,0,0.024329999461770058
ndl_intrinsic,NDL + intrinsic replay,42,7,1,0.040395673364400864
ndl_intrinsic,NDL + intrinsic replay,42,0,2,0.09959669411182404
ndl_intrinsic,NDL + intrinsic replay,42,2,3,0.08431505411863327
ndl_intrinsic,NDL + intrinsic replay,42,3,4,0.07492894679307938
ndl_intrinsic,NDL + intrinsic replay,42,4,5,0.05987880006432533
ndl_intrinsic,NDL + intrinsic replay,42,5,6,0.07388101518154144
ndl_intrinsic,NDL + intrinsic replay,42,6,7,0.07968667149543762
ndl_intrinsic,NDL + intrinsic replay,42,8,8,0.06489750742912292
ndl_intrinsic,NDL + intrinsic replay,42,9,9,0.04733771085739136
ndl_intrinsic,NDL + intrinsic replay,43,1,0,0.025179702788591385
ndl_intrinsic,NDL + intrinsic replay,43,7,1,0.04194950312376022
ndl_intrinsic,NDL + intrinsic replay,43,0,2,0.09352149814367294
ndl_intrinsic,NDL + intrinsic replay,43,2,3,0.07778451591730118
ndl_intrinsic,NDL + intrinsic replay,43,3,4,0.0744074359536171
ndl_intrinsic,NDL + intrinsic replay,43,4,5,0.05719105899333954
ndl_intrinsic,NDL + intrinsic replay,43,5,6,0.07402303069829941
